Participant_number,Text_number,Total_words,Total_lines,Full_lines,Reading_start,Reading_end
S10,5,50,6,5,311.4032,341.4079
S10,6,54,6,5,377.8265,414.745
S10,7,46,6,5,455.012,499.6109
S11,1,39,5,4,NA,NA
S11,2,65,7,7,7.6826,45.4673
S11,3,36,5,4,49.6823,73.8059
S11,4,45,5,4,113.823,139.846
S11,5,50,6,5,177.8306,201.1712
S11,6,54,6,5,242.1379,266.1283
S11,7,46,6,5,318.3738,341.0815
S13,1,39,5,4,NA,NA
S13,2,65,7,7,NA,NA
S13,3,36,5,4,274.7397,299.646
S13,4,45,5,4,321.9539,361.6046
S13,5,50,6,5,375.0491,421.7803
S13,6,54,6,5,450.8187,489.7029
S13,7,46,6,5,516.0257,559.425
S15,1,39,5,4,70.7715,100.4262
S15,2,65,7,7,139.2272,189.8235
S15,3,36,5,4,198.6698,221.0276
S15,4,45,5,4,263.4602,304.5938
S15,5,50,6,5,342.1954,376.1480
S15,6,54,6,5,412.9497,446.6862
S15,7,46,6,5,488.9023,521.5225
S16,1,39,5,4,40.1673,63.0247
S16,2,65,7,7,105.6573,150.0728
S16,3,36,5,4,154.7208,185.6084
S16,4,45,5,4,224.0761,256.2964
S16,5,50,6,5,293.3146,324.5855
S16,6,54,6,5,360.7375,386.7273
S16,7,46,6,5,436.5901,468.1274
S17,1,39,5,4,56.8919,70.2032
S17,2,65,7,7,121.3492,148.2219
S17,3,36,5,4,163.0323,181.8582
S17,4,45,5,4,226.8733,246.3821
S17,5,50,6,5,294.4458,313.6214
S17,6,54,6,5,358.3534,382.7768
S17,7,46,6,5,434.5226,451.5325
S18,1,39,5,4,27.7167,42.6276
S18,2,65,7,7,87.9591,119.5132
S18,3,36,5,4,155.9486,169.2766
S18,4,45,5,4,215.3079,236.0659
S18,5,50,6,5,273.3177,291.3937
S18,6,54,6,5,332.1273,352.6856
S18,7,46,6,5,401.7492,417.9259
S19,1,39,5,4,80.2050,92.5499
S19,2,65,7,7,138.4147,161.1555
S19,3,36,5,4,206.8039,219.3654
S19,4,45,5,4,264.5472,280.0078
S19,5,50,6,5,324.8229,336.1849
S19,6,54,6,5,380.0005,394.5615
S19,7,46,6,5,447.8732,461.6176
S20,1,39,5,4,64.6741,76.8190
S20,2,65,7,7,146.7574,165.3830
S20,3,36,5,4,215.1464,226.2420
S20,4,45,5,4,339.1794,354.9564
S20,5,50,6,5,396.2899,408.5515
S21,1,39,5,4,177.2284,189.6403
S21,2,65,7,7,234.6221,258.0124
S21,3,36,5,4,304.7436,317.0224
S21,4,45,5,4,355.5732,371.2168
S21,5,50,6,5,406.8860,422.3131
S21,6,54,6,5,464.3959,479.8564
S21,7,46,6,5,525.4881,540.6984
S22,1,39,5,4,172.3776,189.9206
S22,2,65,7,7,230.1376,272.5205
S22,3,36,5,4,301.9587,320.4178
S22,4,45,5,4,353.1046,382.7763
S22,5,50,6,5,411.7476,435.0384
S22,6,54,6,5,462.6937,488.3667
S22,7,46,6,5,529.4835,552.6574
S23,1,39,5,4,67.6070,87.9987
S23,2,65,7,7,118.6531,NA
S23,3,36,5,4,198.6876,217.6465
S23,4,45,5,4,249.5003,280.2380
S23,5,50,6,5,303.3784,331.0340
S23,6,54,6,5,411.5848,431.8600
S23,7,46,6,5,472.6269,499.7326
S25,1,39,5,4,14.4611,31.4705
S25,2,65,7,7,71.9877,111.9383
S25,3,36,5,4,143.4753,162.4842
S25,4,45,5,4,206.2000,226.4918
S25,5,50,6,5,257.1460,279.7872
S25,6,54,6,5,308.1754,328.7340
S25,7,46,6,5,368.8343,393.4410
S26,1,39,5,4,39.7033,101.7114
S26,2,65,7,7,NA,NA
S26,3,36,5,4,272.9978,330.0529
S26,4,45,5,4,355.1095,428.8964
S26,5,50,6,5,456.6684,542.5006
S26,6,54,6,5,567.4905,639.1284
S26,7,46,6,5,673.5474,748.5675
S27,1,39,5,4,41.7664,54.5446
S27,2,65,7,7,92.7128,112.5878
S27,3,36,5,4,154.2209,164.9500
S27,4,45,5,4,206.4499,221.1941
S27,5,50,6,5,255.8303,270.1743
S27,6,54,6,5,314.0565,331.7492
S27,7,46,6,5,381.3125,NA
S28,1,39,5,4,10.0628,63.6078
S28,2,65,7,7,97.2777,185.8090
S28,3,36,5,4,217.8628,276.8893
S28,4,45,5,4,316.2734,363.0879
S28,5,50,6,5,410.3525,475.8762
S28,6,54,6,5,500.2665,558.8098
S28,7,46,6,5,583.8497,639.9773
S30,1,39,5,4,303.3581,324.0162
S30,2,65,7,7,354.2042,383.6924
S30,3,36,5,4,414.4965,432.4226
S30,4,45,5,4,471.7566,493.0481
S30,5,50,6,5,534.3650,556.0061
S30,6,54,6,5,581.8456,606.2024
S30,7,46,6,5,652.0173,672.3094
S31,1,39,5,4,179.9120,195.2227
S31,2,65,7,7,236.8891,266.0775
S31,3,36,5,4,304.2119,316.6903
S31,4,45,5,4,402.4058,422.1145
S31,5,50,6,5,458.4998,480.8407
S31,6,54,6,5,543.7987,567.7723
S31,7,46,6,5,604.8747,626.8319
S32,1,39,5,4,91.3633,115.8199
S32,2,65,7,7,147.4738,182.1430
S32,3,36,5,4,213.7471,235.3385
S32,4,45,5,4,291.8322,322.5365
S32,5,50,6,5,382.2290,410.6676
S32,6,54,6,5,434.7078,461.0139
S32,7,46,6,5,495.7499,521.9562
